zone_id,year,month,day,hour,load
1,2005,3,6,1,17137.73463
1,2005,3,6,2,17368.80306
1,2005,3,6,3,17772.71216
1,2005,3,6,4,17571.93254
1,2005,3,6,5,18580.53036
1,2005,3,6,6,18511.25229
1,2005,3,6,7,18171.06809
1,2005,3,6,8,18996.09837
1,2005,3,6,9,18554.12723
1,2005,3,6,10,18066.77855
1,2005,3,6,11,17794.93183
1,2005,3,6,12,17493.33147
1,2005,3,6,13,16944.45018
1,2005,3,6,14,16637.8591
1,2005,3,6,15,16189.20084
1,2005,3,6,16,15886.9302
1,2005,3,6,17,15857.66743
1,2005,3,6,18,15898.31058
1,2005,3,6,19,16023.11567
1,2005,3,6,20,16191.38006
1,2005,3,6,21,16601.11528
1,2005,3,6,22,17784.37517
1,2005,3,6,23,17568.05894
1,2005,3,6,24,18391.43873
1,2005,3,7,1,15377.53785
1,2005,3,7,2,15509.6258
1,2005,3,7,3,15800.2276
1,2005,3,7,4,15963.63343
1,2005,3,7,5,16383.60821
1,2005,3,7,6,17657.18712
1,2005,3,7,7,17534.42794
1,2005,3,7,8,17371.18899
1,2005,3,7,9,16970.95082
1,2005,3,7,10,16099.52243
1,2005,3,7,11,15677.0104
1,2005,3,7,12,15637.93855
1,2005,3,7,13,15915.19819
1,2005,3,7,14,16488.20594
1,2005,3,7,15,16573.22476
1,2005,3,7,16,16933.40366
1,2005,3,7,17,17034.70984
1,2005,3,7,18,16565.71644
1,2005,3,7,19,16221.39086
1,2005,3,7,20,16123.36733
1,2005,3,7,21,15968.87484
1,2005,3,7,22,16024.4125
1,2005,3,7,23,16042.41624
1,2005,3,7,24,16100.60861
1,2005,3,8,1,15230.61831
1,2005,3,8,2,15275.72634
1,2005,3,8,3,15337.68064
1,2005,3,8,4,15630.80622
1,2005,3,8,5,15822.79646
1,2005,3,8,6,16173.69916
1,2005,3,8,7,16468.73278
1,2005,3,8,8,17386.61438
1,2005,3,8,9,18086.99949
1,2005,3,8,10,19168.63535
1,2005,3,8,11,19491.23653
1,2005,3,8,12,20455.46327
1,2005,3,8,13,20812.5918
1,2005,3,8,14,20812.52858
1,2005,3,8,15,21526.84886
1,2005,3,8,16,22670.42963
1,2005,3,8,17,23060.12357
1,2005,3,8,18,24292.71747
1,2005,3,8,19,25561.26385
1,2005,3,8,20,26430.44989
1,2005,3,8,21,26887.83404
1,2005,3,8,22,27777.7074
1,2005,3,8,23,28245.4938
1,2005,3,8,24,29148.15348
1,2005,3,9,1,18190.73033
1,2005,3,9,2,18668.18882
1,2005,3,9,3,19397.18243
1,2005,3,9,4,19623.10578
1,2005,3,9,5,20100.56426
1,2005,3,9,6,20852.8287
1,2005,3,9,7,21623.12428
1,2005,3,9,8,22114.62713
1,2005,3,9,9,22010.39819
1,2005,3,9,10,22487.85668
1,2005,3,9,11,22331.04852
1,2005,3,9,12,22458.22067
1,2005,3,9,13,21866.23237
1,2005,3,9,14,21548.25896
1,2005,3,9,15,21546.07899
1,2005,3,9,16,21124.01613
1,2005,3,9,17,21045.15465
1,2005,3,9,18,21350.54473
1,2005,3,9,19,22534.23859
1,2005,3,9,20,24251.15321
1,2005,3,9,21,27739.89998
1,2005,3,9,22,27368.25307
1,2005,3,9,23,27368.06667
1,2005,3,9,24,28284.10844
1,2005,3,10,1,17977.43426
1,2005,3,10,2,18680.353
1,2005,3,10,3,19409.89015
1,2005,3,10,4,20161.86696
1,2005,3,10,5,20653.91335
1,2005,3,10,6,21428.47948
1,2005,3,10,7,21638.00613
1,2005,3,10,8,21548.3651
1,2005,3,10,9,21135.14068
1,2005,3,10,10,20666.12571
1,2005,3,10,11,20442.56806
1,2005,3,10,12,20167.60534
1,2005,3,10,13,19841.73739
1,2005,3,10,14,19140.35103
1,2005,3,10,15,19054.94953
1,2005,3,10,16,18943.99007
1,2005,3,10,17,18809.39382
1,2005,3,10,18,19376.32377
1,2005,3,10,19,19990.65488
1,2005,3,10,20,21532.6111
1,2005,3,10,21,22289.20631
1,2005,3,10,22,22595.13993
1,2005,3,10,23,23409.60758
1,2005,3,10,24,24261.38395
1,2005,3,11,1,16426.5956
1,2005,3,11,2,17251.20694
1,2005,3,11,3,17642.53148
1,2005,3,11,4,18033.85603
1,2005,3,11,5,17996.94791
1,2005,3,11,6,18582.94388
1,2005,3,11,7,18958.27992
1,2005,3,11,8,19333.61595
1,2005,3,11,9,18633.97185
1,2005,3,11,10,17663.50141
1,2005,3,11,11,17634.24918
1,2005,3,11,12,17114.18724
1,2005,3,11,13,17263.7661
1,2005,3,11,14,17672.43814
1,2005,3,11,15,17562.92381
1,2005,3,11,16,18003.59808
1,2005,3,11,17,19180.47412
1,2005,3,11,18,19028.95466
1,2005,3,11,19,19613.8949
1,2005,3,11,20,20673.58279
1,2005,3,11,21,22311.69765
1,2005,3,11,22,23108.9542
1,2005,3,11,23,23943.81414
1,2005,3,11,24,24285.5059
1,2005,3,12,1,16717.88435
1,2005,3,12,2,17263.37111
1,2005,3,12,3,17848.95844
1,2005,3,12,4,18696.2277
1,2005,3,12,5,19375.15756
1,2005,3,12,6,19823.1378
1,2005,3,12,7,20271.11804
1,2005,3,12,8,20437.52488
1,2005,3,12,9,20872.84917
1,2005,3,12,10,21002.65363
1,2005,3,12,11,20166.55871
1,2005,3,12,12,18963.93214
1,2005,3,12,13,18331.77563
1,2005,3,12,14,17432.03155
1,2005,3,12,15,16856.59543
1,2005,3,12,16,16745.72738
1,2005,3,12,17,16632.08225
1,2005,3,12,18,16714.42234
1,2005,3,12,19,17862.14229
1,2005,3,12,20,19060.61719
1,2005,3,12,21,20069.80701
1,2005,3,12,22,21201.46606
1,2005,3,12,23,21454.43379
1,2005,3,12,24,22216.15996
1,2005,6,20,1,14847.61008
1,2005,6,20,2,14828.2372
1,2005,6,20,3,14787.1657
1,2005,6,20,4,14791.511
1,2005,6,20,5,14838.36838
1,2005,6,20,6,14843.4268
1,2005,6,20,7,14932.08316
1,2005,6,20,8,15044.17211
1,2005,6,20,9,15297.55667
1,2005,6,20,10,15868.3712
1,2005,6,20,11,16212.17807
1,2005,6,20,12,16939.66163
1,2005,6,20,13,17896.64638
1,2005,6,20,14,18606.38462
1,2005,6,20,15,18871.39795
1,2005,6,20,16,19727.79484
1,2005,6,20,17,20707.93852
1,2005,6,20,18,19666.43796
1,2005,6,20,19,19931.4513
1,2005,6,20,20,18327.50357
1,2005,6,20,21,16370.31893
1,2005,6,20,22,15763.79006
1,2005,6,20,23,15597.69093
1,2005,6,20,24,15616.08716
1,2005,6,21,1,14633.20506
1,2005,6,21,2,14634.64319
1,2005,6,21,3,14674.73153
1,2005,6,21,4,14746.58888
1,2005,6,21,5,14844.36607
1,2005,6,21,6,14912.01678
1,2005,6,21,7,14867.91261
1,2005,6,21,8,14947.58915
1,2005,6,21,9,15446.18496
1,2005,6,21,10,16609.2136
1,2005,6,21,11,17828.40061
